"","variable","value","any_mental_disorder","suicide_risk","anxiety_disorders","alcohol_use_disorders","depression","help_seeking_12m_structural_barriers","help_seeking_12m_worries_fear_shame","help_seeking_not12m_structural_barriers","help_seeking_not12m_worries_fear_shame"
"1","sex","female","2.38 (1.91, 2.97)","2.08 (1.52, 2.87)","1.56 (1.16, 2.11)","2.29 (1.55, 3.4)","1.48 (1.06, 2.07)","0.8 (0.58, 1.11)","0.81 (0.55, 1.19)","1.31 (1.04, 1.65)","1.3 (1.09, 1.55)"
"2","gender","transgender/non-binary","8.21 (3.1, 22.95)","3.84 (1.24, 12.27)","20.39 (3.66, 381.25)","7.37 (1.78, 28.66)","1.08 (0.05, 11.49)","0.64 (0.17, 2.35)","0.9 (0.13, 3.74)","1.69 (0.09, 8.5)","0.89 (0.05, 4.46)"
"3","gender","women","2.42 (1.93, 3.03)","2.12 (1.54, 2.93)","1.55 (1.15, 2.1)","2.45 (1.65, 3.66)","1.45 (1.05, 2.03)","0.79 (0.57, 1.09)","0.89 (0.6, 1.32)","1.27 (1, 1.6)","1.32 (1.11, 1.57)"
"4","education","lwr_secondary","0.75 (0.54, 1.03)","0.68 (0.44, 1.06)","0.6 (0.4, 0.92)","0.85 (0.46, 1.61)","0.88 (0.56, 1.41)","0.56 (0.35, 0.91)","0.81 (0.47, 1.43)","1.23 (0.85, 1.81)","0.9 (0.69, 1.18)"
"5","education","upr_secondary","0.93 (0.68, 1.27)","0.87 (0.56, 1.35)","0.79 (0.53, 1.19)","1.02 (0.57, 1.91)","1.21 (0.77, 1.92)","0.72 (0.45, 1.15)","0.79 (0.46, 1.39)","0.95 (0.65, 1.42)","0.79 (0.61, 1.04)"
"6","education","universitary","0.77 (0.53, 1.12)","0.76 (0.43, 1.31)","0.62 (0.38, 1)","0.88 (0.44, 1.79)","0.98 (0.55, 1.73)","1 (0.58, 1.74)","0.75 (0.39, 1.44)","0.93 (0.6, 1.45)","0.78 (0.57, 1.07)"
"7","work_status_orig","disability pension","8.33 (5.37, 13.18)","6.86 (3.78, 13.04)","7.36 (4.11, 13.93)","2.72 (0.72, 8.61)","7.9 (3.96, 17.27)","1.08 (0.65, 1.76)","1.3 (0.7, 2.6)","0.67 (0.36, 1.39)","0.65 (0.4, 1.12)"
"8","work_status_orig","in household","1.15 (0.53, 2.29)","1.59 (0.57, 4.14)","1.16 (0.5, 2.56)","0.77 (0.04, 4.26)","0.6 (0.21, 1.48)","2.06 (0.57, 9.82)","1.05 (0.15, 4.59)","1.6 (0.63, 4.05)","1 (0.43, 2.2)"
"9","work_status_orig","involuntarily unemployed","1 (0.55, 1.72)","0.98 (0.42, 2.11)","0.88 (0.43, 1.72)","0.56 (0.13, 1.61)","0.82 (0.37, 1.71)","0.84 (0.31, 2.3)","2.82 (0.91, 8.36)","1.97 (0.83, 4.79)","1.01 (0.45, 2.19)"
"10","work_status_orig","parental_leave","0.77 (0.44, 1.3)","1.02 (0.43, 2.22)","0.53 (0.25, 1.03)","0.63 (0.15, 1.85)","0.36 (0.14, 0.79)","2.06 (0.82, 5.74)","2.48 (0.9, 6.67)","1.16 (0.55, 2.61)","0.93 (0.51, 1.77)"
"11","work_status_orig","retired","1.16 (0.86, 1.55)","1.05 (0.67, 1.63)","0.81 (0.54, 1.19)","0.99 (0.48, 1.9)","1.29 (0.81, 2.04)","0.47 (0.27, 0.8)","1.2 (0.6, 2.51)","0.45 (0.23, 0.95)","0.63 (0.38, 1.12)"
"12","work_status_orig","self-employed","0.89 (0.54, 1.42)","0.81 (0.38, 1.61)","1.09 (0.56, 2.05)","1.23 (0.6, 2.32)","0.65 (0.28, 1.39)","0.76 (0.36, 1.61)","1.05 (0.36, 2.8)","0.42 (0.18, 1)","0.48 (0.26, 0.93)"
"13","work_status_orig","sickness leave","3.92 (1.72, 8.95)","3.21 (1.17, 9.19)","3.28 (1.19, 9.83)","4.08 (0.53, 25.06)","3.23 (1.09, 10.77)","1.65 (0.55, 5.59)","1.12 (0.24, 4.07)","1.88 (0.61, 5.35)","1.69 (0.68, 3.98)"
"14","work_status_orig","student","0.96 (0.62, 1.44)","1.09 (0.61, 1.89)","0.71 (0.41, 1.21)","1.01 (0.48, 1.93)","0.63 (0.35, 1.11)","1.79 (0.78, 4.34)","2.3 (0.9, 5.83)","1.01 (0.48, 2.29)","2.26 (1.3, 4.1)"
"15","work_status_orig","voluntarily unemployed","0.65 (0.22, 1.57)","0.89 (0.28, 2.39)","0.49 (0.14, 1.37)","0.44 (0.02, 2.23)","0.32 (0.07, 0.97)","0.55 (0.13, 2.23)","1.49 (0.21, 7.06)","1.2 (0.36, 3.53)","2.21 (1.01, 4.81)"
"16","income","10-19k","1.47 (1.06, 2.05)","1.86 (1.18, 2.94)","1.43 (0.95, 2.18)","1.07 (0.55, 2.15)","1.99 (1.28, 3.12)","0.61 (0.36, 1.01)","0.87 (0.49, 1.59)","0.53 (0.36, 0.78)","0.54 (0.41, 0.72)"
"17","income","20-29k","0.74 (0.52, 1.06)","0.73 (0.45, 1.19)","1.04 (0.66, 1.63)","0.67 (0.35, 1.33)","1.05 (0.65, 1.71)","0.6 (0.34, 1.04)","0.79 (0.42, 1.51)","0.5 (0.34, 0.73)","0.43 (0.32, 0.57)"
"18","income","30-39k","0.57 (0.37, 0.88)","0.51 (0.26, 0.96)","0.94 (0.52, 1.67)","0.81 (0.41, 1.64)","0.83 (0.41, 1.64)","0.85 (0.43, 1.65)","0.71 (0.31, 1.55)","0.48 (0.31, 0.74)","0.34 (0.24, 0.47)"
"19","income","40-49k","0.49 (0.25, 0.9)","0.53 (0.2, 1.26)","0.93 (0.38, 2.14)","0.71 (0.27, 1.72)","1.05 (0.38, 2.72)","1.97 (0.7, 6.47)","1.05 (0.34, 2.93)","0.31 (0.16, 0.58)","0.29 (0.18, 0.46)"
"20","income","50+k","0.86 (0.42, 1.64)","1.74 (0.65, 4.52)","0.93 (0.31, 2.48)","0.88 (0.29, 2.34)","1.48 (0.51, 4.09)","0.71 (0.26, 2.04)","0.59 (0.13, 2.02)","0.35 (0.16, 0.7)","0.22 (0.11, 0.4)"
"21","income","no reply","0.98 (0.63, 1.51)","1 (0.54, 1.82)","1.44 (0.83, 2.49)","0.89 (0.38, 2.05)","0.88 (0.47, 1.6)","0.64 (0.33, 1.22)","0.53 (0.23, 1.2)","0.34 (0.21, 0.54)","0.34 (0.24, 0.48)"
"22","marital_status_orig","divorced","1.67 (1.21, 2.3)","1.27 (0.8, 2.02)","1.69 (1.1, 2.59)","1.19 (0.53, 2.46)","1.37 (0.83, 2.25)","3.4 (1.56, 8.07)","2.62 (1.15, 5.89)","1.94 (1.09, 3.37)","2.16 (1.4, 3.31)"
"23","marital_status_orig","in relationship, living apart","1.39 (0.88, 2.16)","1.09 (0.56, 2.04)","1.51 (0.86, 2.62)","2.72 (1.33, 5.37)","1.1 (0.58, 2.05)","1.67 (1, 2.82)","1.33 (0.68, 2.63)","1.3 (0.85, 2.01)","1.28 (0.93, 1.8)"
"24","marital_status_orig","living with a partner","0.91 (0.66, 1.25)","0.81 (0.52, 1.28)","1.11 (0.74, 1.68)","0.99 (0.54, 1.77)","0.83 (0.52, 1.33)","1.18 (0.77, 1.8)","1.2 (0.68, 2.19)","0.71 (0.48, 1.06)","0.73 (0.55, 1)"
"25","marital_status_orig","married, living apart","1.66 (0.58, 4.22)","0.62 (0.09, 2.65)","1.07 (0.15, 5.59)","4.35 (1.09, 15.21)","1.01 (0.2, 4.24)","2.39 (0.5, 17.1)","2.26 (0.31, 11.31)","2.46 (0.71, 6.62)","1.36 (0.4, 3.56)"
"26","marital_status_orig","single","1.24 (0.93, 1.65)","1.29 (0.84, 1.98)","1.14 (0.78, 1.66)","1.42 (0.85, 2.37)","0.82 (0.53, 1.29)","1.43 (0.89, 2.29)","1.97 (1.09, 3.65)","1.61 (1.06, 2.47)","1.83 (1.33, 2.53)"
"27","marital_status_orig","widowed","1.32 (0.83, 2.06)","1.05 (0.54, 2)","1.05 (0.59, 1.83)","0.76 (0.12, 2.77)","1.16 (0.59, 2.27)","0.64 (0.33, 1.2)","1.75 (0.79, 3.8)","0.63 (0.32, 1.18)","1.21 (0.8, 1.83)"
"28","region_residence","2","1.16 (0.77, 1.74)","0.73 (0.41, 1.31)","1.25 (0.74, 2.11)","1.29 (0.6, 2.8)","1.11 (0.59, 2.1)","1.27 (0.73, 2.23)","1.43 (0.72, 2.87)","1.07 (0.7, 1.63)","0.91 (0.65, 1.28)"
"29","region_residence","3","1.43 (0.87, 2.33)","1.01 (0.49, 2.05)","1.63 (0.87, 3.07)","1.86 (0.74, 4.51)","1.77 (0.81, 3.9)","1.39 (0.69, 2.83)","1.27 (0.52, 2.94)","1.25 (0.75, 2.05)","0.85 (0.54, 1.31)"
"30","region_residence","4","0.63 (0.36, 1.09)","0.63 (0.25, 1.48)","0.82 (0.39, 1.67)","0.8 (0.31, 1.97)","0.84 (0.34, 2.03)","1.03 (0.47, 2.29)","2.04 (0.81, 4.92)","0.79 (0.43, 1.39)","0.8 (0.5, 1.25)"
"31","region_residence","5","0.86 (0.38, 1.77)","0.88 (0.28, 2.49)","1.16 (0.45, 2.82)","0.82 (0.12, 3.31)","1.38 (0.44, 4.13)","0.86 (0.28, 2.68)","0.78 (0.12, 3.18)","0.5 (0.17, 1.17)","0.73 (0.37, 1.32)"
"32","region_residence","6","0.97 (0.6, 1.55)","0.67 (0.33, 1.33)","1.04 (0.54, 1.95)","1.04 (0.41, 2.51)","0.71 (0.32, 1.54)","0.95 (0.51, 1.79)","1.81 (0.85, 3.83)","1.11 (0.68, 1.78)","1.21 (0.83, 1.76)"
"33","region_residence","7","1.25 (0.72, 2.15)","1.03 (0.46, 2.23)","1.61 (0.8, 3.24)","1.82 (0.67, 4.67)","2.21 (0.98, 5.06)","1.23 (0.57, 2.73)","1.69 (0.66, 4.12)","0.78 (0.38, 1.49)","1.1 (0.67, 1.74)"
"34","region_residence","8","0.9 (0.5, 1.57)","1.17 (0.49, 2.72)","1.11 (0.53, 2.3)","0.77 (0.24, 2.13)","0.74 (0.3, 1.75)","1.03 (0.47, 2.29)","1.04 (0.35, 2.75)","0.8 (0.43, 1.43)","1.01 (0.64, 1.55)"
"35","region_residence","9","0.99 (0.54, 1.74)","0.76 (0.31, 1.77)","1 (0.47, 2.08)","0.54 (0.12, 1.77)","1.01 (0.42, 2.36)","1.26 (0.6, 2.74)","0.91 (0.31, 2.37)","0.81 (0.42, 1.46)","0.94 (0.59, 1.48)"
"36","region_residence","10","0.66 (0.34, 1.21)","0.4 (0.15, 0.96)","0.97 (0.44, 2.04)","0.83 (0.25, 2.31)","0.85 (0.36, 1.95)","2.34 (0.94, 6.41)","0.85 (0.23, 2.55)","0.84 (0.44, 1.51)","1.14 (0.72, 1.76)"
"37","region_residence","11","0.96 (0.63, 1.45)","0.91 (0.5, 1.65)","1.09 (0.64, 1.86)","0.81 (0.36, 1.8)","1.11 (0.58, 2.14)","1.72 (0.96, 3.14)","0.78 (0.35, 1.7)","0.81 (0.5, 1.29)","1 (0.7, 1.42)"
"38","region_residence","12","1.25 (0.74, 2.08)","1.34 (0.64, 2.78)","1.21 (0.63, 2.31)","1.15 (0.38, 3.1)","1.2 (0.56, 2.56)","0.65 (0.34, 1.24)","1.02 (0.42, 2.33)","0.4 (0.17, 0.81)","0.96 (0.61, 1.47)"
"39","region_residence","13","0.94 (0.53, 1.61)","1.01 (0.46, 2.17)","0.59 (0.26, 1.24)","1.05 (0.35, 2.82)","0.61 (0.24, 1.47)","1.53 (0.71, 3.39)","1.34 (0.51, 3.31)","0.59 (0.29, 1.12)","1.18 (0.77, 1.8)"
"40","region_residence","14","0.78 (0.5, 1.21)","0.86 (0.46, 1.6)","0.73 (0.41, 1.27)","0.86 (0.38, 1.9)","0.86 (0.42, 1.75)","0.89 (0.48, 1.63)","1.19 (0.55, 2.56)","0.69 (0.42, 1.12)","0.77 (0.53, 1.12)"
"41","size_place_residence","5000-19999","1.06 (0.79, 1.43)","0.93 (0.6, 1.43)","0.9 (0.61, 1.32)","1.21 (0.68, 2.1)","1.15 (0.74, 1.79)","0.88 (0.58, 1.34)","0.81 (0.49, 1.32)","1.32 (0.96, 1.82)","1.12 (0.87, 1.42)"
"42","size_place_residence","20000-99999","1.14 (0.86, 1.5)","1.06 (0.71, 1.57)","1.14 (0.78, 1.64)","1.41 (0.83, 2.38)","0.96 (0.64, 1.45)","0.88 (0.59, 1.32)","0.57 (0.34, 0.94)","1.25 (0.91, 1.7)","1.05 (0.83, 1.32)"
"43","size_place_residence","100000+","1.1 (0.83, 1.45)","1.17 (0.79, 1.73)","1.07 (0.75, 1.53)","1.08 (0.64, 1.82)","1.06 (0.68, 1.64)","0.85 (0.58, 1.25)","0.56 (0.34, 0.91)","1.14 (0.83, 1.56)","1 (0.79, 1.27)"
"44","age",NA,"1.03 (0.93, 1.14)","0.96 (0.82, 1.11)","0.99 (0.87, 1.13)","0.78 (0.62, 0.98)","1.24 (1.07, 1.45)","0.59 (0.5, 0.69)","0.83 (0.69, 1)","0.71 (0.63, 0.8)","0.75 (0.69, 0.82)"
"45","SELFI_composite",NA,"4.35 (3.73, 5.11)","3.4 (2.75, 4.26)","3.18 (2.62, 3.9)","5.01 (3.79, 6.77)","2.57 (2.07, 3.23)","1.07 (0.91, 1.26)","1.1 (0.9, 1.35)","3.85 (3.36, 4.43)","5.37 (4.75, 6.1)"
"46","beer_quantity",NA,"0.61 (0.52, 0.7)","0.62 (0.49, 0.76)","0.88 (0.73, 1.03)","0.86 (0.69, 1.06)","0.84 (0.67, 1.01)","1.11 (0.95, 1.36)","1.1 (0.96, 1.3)","1.05 (0.92, 1.17)","1.04 (0.94, 1.14)"
"47","wine_quantity",NA,"0.76 (0.66, 0.86)","0.77 (0.64, 0.9)","0.87 (0.74, 1.01)","1.15 (0.95, 1.37)","0.76 (0.62, 0.9)","1.11 (0.93, 1.34)","1.13 (0.93, 1.35)","1.08 (0.96, 1.18)","1.05 (0.96, 1.14)"
"48","spirits_quantity",NA,"0.7 (0.59, 0.83)","0.78 (0.63, 0.94)","0.92 (0.77, 1.06)","0.96 (0.76, 1.17)","0.9 (0.75, 1.05)","1.17 (0.99, 1.46)","1 (0.81, 1.15)","1.11 (0.98, 1.23)","1.21 (1.11, 1.32)"
"49","beer_frequency",NA,"0.63 (0.56, 0.7)","0.73 (0.63, 0.85)","0.77 (0.67, 0.89)","0.74 (0.59, 0.94)","0.72 (0.61, 0.85)","1.21 (1.04, 1.4)","1.01 (0.84, 1.21)","1.04 (0.92, 1.17)","0.91 (0.84, 1)"
"50","wine_frequency",NA,"0.73 (0.66, 0.82)","0.79 (0.68, 0.92)","0.78 (0.68, 0.9)","1.1 (0.91, 1.35)","0.7 (0.59, 0.83)","1.31 (1.13, 1.53)","0.97 (0.81, 1.15)","1.17 (1.04, 1.31)","0.97 (0.89, 1.06)"
"51","spirits_frequency",NA,"0.61 (0.55, 0.69)","0.75 (0.64, 0.88)","0.79 (0.68, 0.91)","0.66 (0.53, 0.82)","0.75 (0.63, 0.88)","1.29 (1.1, 1.51)","0.98 (0.81, 1.18)","1.22 (1.09, 1.37)","1.1 (1.01, 1.2)"
"52","binge_drinking",NA,"0.64 (0.56, 0.71)","0.73 (0.63, 0.86)","0.81 (0.7, 0.95)","1.02 (0.81, 1.29)","0.73 (0.62, 0.87)","1.35 (1.14, 1.6)","1.1 (0.91, 1.33)","1.51 (1.36, 1.69)","1.33 (1.22, 1.45)"
